Artist Name,Genres,Followers,Popularity
Hanumankind,"malayalam hip hop, desi hip hop",843288,71
Rasraj Ji Maharaj,"bhajan, devotional",314057,63
Salangpur Hanumanji - Official,bhajan,1966,26
Sachet-Parampara,"bhajan, hindi pop, devotional, bollywood",2687625,77
Hanuman Foundation,bhajan,1630,17
Parampara Tandon,"bhajan, devotional, hindi pop, bollywood",3561737,77
Shri Hanuman Chalisa,bhajan,8434,18
Hansraj Raghuwanshi,"bhajan, devotional",1557271,69
The Hanuman Project,,6208,27
Pujya Rajan Ji Official,"bhajan, devotional",140770,56
Hanuman Ji Gadhsuriya,,2,0
Lakhbir Singh Lakkha,"bhajan, devotional",217220,56
Hanuman Ji Prajapat,,0,0
Bharat Kamal,"bhajan, devotional",21678,63
Hanuman ji,,5,0
Indresh Upadhyay,"bhajan, devotional",203370,59
hangman irl,"tekno, frenchcore",75,26
Narci,"bhajan, devotional",134757,52
Hanuman Ji Jha,,0,0
Abhilipsa Panda,"bhajan, devotional",57522,58
Pujya Prembhushanji Maharaj,"bhajan, devotional",122161,52
Chitra Vichitra Ji Maharaj,"bhajan, devotional",152034,53
Jeetu Sharma,"bhajan, devotional",98358,56
Ram Kumar Lakha,"bhajan, devotional",57076,46
Swarna Shri,"bhajan, devotional",52664,53
Dhruv Sharma,"bhajan, devotional",69904,53
SJ,bhajan,6183,44
Sudhir Vyas,"bhajan, devotional",63313,52
Lakhbir Singh Lakha,"bhajan, devotional",16199,46
Kishan Bhagat,"bhajan, devotional",69632,48
Bihari Ji,"bhajan, devotional",67026,41
Anju Sharma,"bhajan, devotional",48049,42
Abby Viral,"bhajan, devotional, hindi hip hop",50554,45
Neuman,"bhajan, devotional",3177,45
Shridhay Shri Mridul krishna shastri ji maharaj,"bhajan, devotional",16890,47
Anjali Jain,"bhajan, devotional",61425,45
Ravindra Pratap Singh,"bhajan, devotional",17290,46
Kanhaiya Mittal,"bhajan, devotional",35132,42
Chandra-Surya,bhajan,8857,45
Ram Shankar,"bhajan, qawwali",187524,42
BAJANIA GHAR,"bhajan, devotional",18803,41
Jainen,"bhajan, devotional",48872,46
Sanatana Sankirtan,"bhajan, devotional",35259,42
Upasana Mehta,"bhajan, devotional",61426,45
Ravan,"bhajan, devotional",13652,41
Raahi,"bhajan, devotional",856,40
Sadhvi Purnima Ji,bhajan,34604,41
Pradyuman singh,"bhajan, devotional",270,35
Hanumantha Rao,"telugu pop, tollywood",64,24
Premanand Maharaj,"bhajan, devotional",17357,37
