Track Name,Artist(s),Album,Release Year,Duration (sec)
Hanuman JI,NRB,Hanuman JI,2024,251
Hanuman Chalisa (Lo-fi),Rasraj Ji Maharaj,Hanuman Chalisa (Lo-fi),2023,257
Jai Hanuman Gyan,Shankar Sahney,Jai Hanuman,2010,240
Hanuman Ji Ki Aarti,Rasraj Ji Maharaj,Hanuman Ji Ki Aarti,2023,203
Veer Hanumana (Lofi),"Rasraj Ji Maharaj, Baljeet Singh Chahal",Veer Hanumana (Lofi),2024,311
Hanuman Ji Ka Janam,Kumar Vishu,Shree Hanuman Gaatha Vol-1,2001,2691
"Raghunandana (From ""HanuMan"") [Hindi]","GowraHari, Saicharan Bhaskaruni, Lokeshwar Edara, Harshavardhan Chavali, Tripuraneni Kalyanachakravarthy","Raghunandana (From ""HanuMan"") [Hindi]",2024,151
Hanuman Ji Ka Sarv Badha Nivarak,Prem Prakash Dubey,Hanuman Ji Ka Sarv Badha Nivarak,2020,269
Hanuman Bahuk,Rasraj Ji Maharaj,Hanuman Bahuk,2023,1580
Hanuman Ji Ka Sutra Vinashak Mantra,Prem Prakash Dubey,Hanuman Ji Ka Sutra Vinashak Mantra,2020,285
Hanuman Bahuk-Lofi,Rasraj Ji Maharaj,Hanuman Bahuk-Lofi,2023,1586
Hanuman ji,XooFa,Hanuman ji,2025,118
Jai Siya Ram Dhun-Lofi,"Rasraj Ji Maharaj, Baljeet Singh Chahal",Jai Siya Ram Dhun-Lofi,2023,2004
Hanuman Ji Ki Aarti,"Baal Kishan Bunty, Maanya Arora, Dhvani Arora",Hanuman Ji Ki Aarti,2024,227
Hanuman Tumhara Kya Kehna,Lakhbir Singh Lakkha,Ram Na Milenge Hanuman Ke Bina,2000,521
Hanuman Ji Hanuman Ji Daya Bhakton Pe,Babla Mehta,Jai Shree Hanuman,1996,326
Ram Ji Ke Sath Jo Hanuman Nahin Hote,Lakhbir Singh Lakkha,Ram Na Milenge Hanuman Ke Bina,2000,364
