Album Name,Artist(s),Release Year,Total Tracks
Kabir Singh,"Sachet-Parampara, Vishal Mishra, Mithoon",2019,9
"Kaise Hua (From ""Kabir Singh"")","Vishal Mishra, Manoj Muntashir",2019,1
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh, Mithoon",2019,1
"Mere Sohneya (From ""Kabir Singh"")","Sachet Tandon, Parampara Tandon, Sachet-Parampara",2019,1
"Bekhayali (From ""Kabir Singh"")","Sachet Tandon, Sachet-Parampara",2019,1
Aashiqui 2,"Mithoon, Ankit Tiwari, Jeet Gannguli",2013,12
"Bekhayali (Arijit Singh Version) [From ""Kabir Singh""]","Arijit Singh, Sachet-Parampara",2019,1
Mohenjo Daro,A.R. Rahman,2016,8
"Satranga (From ""ANIMAL"")","Arijit Singh, Shreyas Puranik, Siddharth - Garima",2023,1
Kabir Singh Theme' The Rage Anthem (SV Rendition),Suraj Verma,2022,1
Kabir Meri Simarni,Bhai Sarabjit Singh Ji Patna Sahib Wale,2013,6
Nature,"Kabira, NJ Nindaniya",2022,1
Kabir Singh Theme' The Rage Anthem (SV Rendition),Suraj Verma,2023,6
Kabir Singh Theme,Genesis the Beginning,2019,1
The Arijit Singh Collection,Arijit Singh,2023,15
ANIMAL,"Manan Bhardwaj, Vishal Mishra, Jaani",2023,8
Kabir Singh Theme' The Rage Anthem - Without Dialogues (SV Rendition),Suraj Verma,2022,1
Yeh Jawaani Hai Deewani,Pritam,2013,9
Ultimate Love Songs - Arijit Singh,Arijit Singh,2020,10
Kabir By Jagjit Singh,Jagjit Singh,2006,8
Rockstar,"A.R. Rahman, Irshad Kamil",2011,15
Kabir Singh Mashup,Various Artists,2024,1
Ek Villain,"Mithoon, Ankit Tiwari",2014,6
Baani Kabir Sahib Ji Vol-23,Pathi Ratan Singh Ji,2005,14
"Barbaad (From ""Saiyaara"")","The Rish, Jubin Nautiyal",2025,1
"Bhagat Kabir Ji, Sheikh Farid Ji","Bhai Satwinder Singh Ji, Bhai Harvinder Singh Ji (Delhi Wale)",2007,2
Roy,"Amaal Mallik, Ankit Tiwari, Meet Bros Anjjan",2015,7
Kabir Mera Mujh Mai Kujh Nahi,Bhai Harcharan Singh Khalsa,2023,1
Arijit Singh Broken Strings,Arijit Singh,2019,20
Haareya,"Kabir Singh, Agaazz",2025,1
Love Dose Arijit Singh,Arijit Singh,2016,10
Govinda,"Kabira, RP Singh",2023,1
"Tere Hawaale (From ""Laal Singh Chaddha"")","Pritam, Arijit Singh, Shilpa Rao",2022,1
Fakiri,"Neeraj Arya, Kabir Cafe",2017,1
Panchrang,Kabir Cafe,2016,11
Kabir Singh,Jasobant Sagar,2022,1
"Chaleya (From ""Jawan"")","Anirudh Ravichander, Arijit Singh, Shilpa Rao",2023,1
Animal X Kabir Singh Mashup,Various Artists,2024,1
"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya",2022,1
Kabir Aisa Koi Na Janmeyo,Bhai Manpreet Singh Ji Kanpuri,2024,1
Pehli Dafa,"Atif Aslam, Shiraz Uppal",2017,1
Kabir Sadhu Ko Milne Jayiye,Bhai Mehtab Singh Ji Jalandhar Wale,2023,1
"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")","Pritam, Arijit Singh, Shreya Ghoshal",2023,1
Sohniye Je (2.0),Kabir Singh,2024,1
Kaabil,"Rajesh Roshan, Gourov-Roshin",2016,6
"Meri Tanhaiyon Mein (From ""Jaane Kyun De Yaaron"")","Arijit Singh, Satya, Manik, Afsar",2017,1
"Kcpd (From ""Atharva"") [KANNADA]",Aniruddha Sastry,2024,1
"Hawayein (From ""Jab Harry Met Sejal"")","Pritam, Arijit Singh",2017,1
Kabir Bhajan,"Rajeev Singh, Dinesh Sharma, Sudhir Mishra",2022,7
Kabira - Lofi,TanuX,2024,1
