Track Name,Artist(s),Album,Release Year,Duration (sec)
"Bekhayali (From ""Kabir Singh"")","Sachet Tandon, Sachet-Parampara","Bekhayali (From ""Kabir Singh"")",2019,372
"Raataan Lambiyan (From ""Shershaah"")","Tanishk Bagchi, Jubin Nautiyal, Asees Kaur","Raataan Lambiyan (From ""Shershaah"")",2021,230
Kaise Hua,"Vishal Mishra, Manoj Muntashir",Kabir Singh,2019,235
"Mere Sohneya (From ""Kabir Singh"")","Sachet Tandon, Parampara Tandon, Sachet-Parampara","Mere Sohneya (From ""Kabir Singh"")",2019,193
Tujhe Bhula Diya,"Vishal-Shekhar, Mohit Chauhan, Shekhar Ravjiani, Shruti Pathak",Anjaana Anjaani,2010,279
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh, Mithoon","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",2019,285
Pehla Pyaar,"Armaan Malik, Vishal Mishra, Irshad Kamil",Kabir Singh,2019,273
Kabira - Lofi,TanuX,Kabira - Lofi,2024,267
Tera Ban Jaunga,"Akhil Sachdeva, Tulsi Kumar, Kumaar",Kabir Singh,2019,236
Kabir Singh Theme' The Rage Anthem (SV Rendition),Suraj Verma,Kabir Singh Theme' The Rage Anthem (SV Rendition),2022,285
"Kaise Hua (From ""Kabir Singh"")","Vishal Mishra, Manoj Muntashir","Kaise Hua (From ""Kabir Singh"")",2019,235
Mere Sohneya,"Sachet Tandon, Parampara Tandon, Sachet-Parampara, Irshad Kamil",Kabir Singh,2019,193
"Marham (Pehle Bhi Main) [From ""ANIMAL""]","Vishal Mishra, Raj Shekhar","Marham (Pehle Bhi Main) [From ""ANIMAL""]",2023,113
Kabir Amritwani,Debashish Dasgupta,Kabir Amritwani Vol-1,2000,3448
Kabira,LofiBoi,SlowDude,2023,178
Tujhe Kitna Chahne Lage,"Arijit Singh, Mithoon",Kabir Singh,2019,285
Katiya Karun,Harshdeep Kaur,Rockstar,2011,238
Bekhayali,"Sachet Tandon, Sachet-Parampara, Irshad Kamil",Kabir Singh,2019,372
Kashmir,"Manan Bhardwaj, Shreya Ghoshal",ANIMAL,2023,216
Kabir Ke Dohe,Manoj Mishra,Kabir Ke Dohe - Manoj Mishra,2022,1338
Bekhayali (Arijit Singh Version),"Arijit Singh, Sachet-Parampara, Irshad Kamil",Kabir Singh,2019,370
"Jaadui (From ""Tu Jhoothi Main Makkaar"")","Pritam, Jubin Nautiyal, Amitabh Bhattacharya","Jaadui (From ""Tu Jhoothi Main Makkaar"")",2023,222
Kabir Singh Theme,Genesis the Beginning,Kabir Singh Theme,2019,150
"Bekhayali (Arijit Singh Version) [From ""Kabir Singh""]","Arijit Singh, Sachet-Parampara","Bekhayali (Arijit Singh Version) [From ""Kabir Singh""]",2019,370
Hua Main,"Raghav Chaitanya, Manoj Muntashir, Pritam",ANIMAL,2023,277
Yeh Aaina,"Shreya Ghoshal, Amaal Mallik, Irshad Kamil",Kabir Singh,2019,311
Gallan Gallan,"Kabir, Starboy X, SARRB",Forever Yours,2024,165
Pehle Bhi Main,"Vishal Mishra, Raj Shekhar",ANIMAL,2023,250
Tujhe Kitna Chahein Aur (Film Version),"Jubin Nautiyal, Mithoon",Kabir Singh,2019,276
Re Kabira (Reprise),Favas Fazin,Re Kabira (Reprise),2024,70
Kabir Singh' The Rage Anthem - Without Dialogue,Suraj Verma,Kabir Singh Theme' The Rage Anthem (SV Rendition),2023,285
"Papa Meri Jaan (From ""ANIMAL"")","Sonu Nigam, Harshavardhan Rameshwar, Raj Shekhar","Papa Meri Jaan (From ""ANIMAL"")",2023,322
Kabir Singh Theme' The Rage Anthem - Without Dialogues (SV Rendition),Suraj Verma,Kabir Singh Theme' The Rage Anthem - Without Dialogues (SV Rendition),2022,285
Kabira (Encore),"Pritam, Harshdeep Kaur, Arijit Singh",Yeh Jawaani Hai Deewani,2013,270
Kabir's Theme - Instrumental,"Sanchit Balhara, Ankit Balhara",War,2019,99
"Tera Ban Jaunga (From ""Kabir Singh"")","Akhil Sachdeva, Tulsi Kumar",Best Of Akhil Sachdeva,2019,236
Range Rover Entry,Harshavardhan Rameshwar,ANIMAL (Original Motion Picture Soundtrack),2024,85
Kabira Kabir Ke Dohe,Rupinder Singh,Kabira Kabir Ke Dohe,2024,378
"Pehla Pyaar (From ""Kabir Singh"")",Armaan Malik,Hits Of Armaan Malik,2020,273
Kabir Amritwani,Debashish Dasgupta,Kabir Amritwani Vol-7,2001,3582
"Bekhayali (Arijit Singh Version) [From ""Kabir Singh""]",Arijit Singh,Ultimate Love Songs - Arijit Singh,2020,370
Animal X Kabir Singh Mashup,"Arijit Singh, B Praak, Akhil Sachdeva, Tulsi Kumar, Vishal Mishra, DJ Rik, Dj Jits",Animal X Kabir Singh Mashup,2024,329
"Saiyaara (From ""Saiyaara"")","Tanishk Bagchi, Faheem Abdullah, Arslan Nizami, Irshad Kamil","Saiyaara (From ""Saiyaara"")",2025,371
Papa Meri Jaan,"Sonu Nigam, Harshavardhan Rameshwar, Raj Shekhar",ANIMAL,2023,322
Kabir Singh' The Rage Anthem - 8D,Suraj Verma,Kabir Singh Theme' The Rage Anthem (SV Rendition),2023,285
Kabir Singh Mashup,"Sachet Tandon, Vishal Mishra, Arijit Singh, Parampara Tandon, Akhil Sachdeva, Tulsi Kumar, Shreya Ghoshal, Armaan Malik, Jubin Nautiyal, DJ Rik",Kabir Singh Mashup,2024,244
"Kabir's Theme (From ""War"")","Sanchit Balhara, Ankit Balhara",YRF Spy Universe Themes,2023,99
"Satranga (From ""ANIMAL"")","Arijit Singh, Shreyas Puranik, Siddharth - Garima","Satranga (From ""ANIMAL"")",2023,271
"Kabira (Encore) [From ""Yeh Jawaani Hai Deewani""]","Harshdeep Kaur, Arijit Singh",Ultimate Love Songs - Arijit Singh,2020,270
Kabir Na Hum Kiya,Bhai Mehtab Singh,Aapey Baksh Lai,2014,432
